Qu_1_a,Qu_1_b,Qu_1_c,Qu_1_d,Qu_2_a,Qu_2_b,Qu_2_c,Qu_2_d,Qu_3_a,Qu_3_b,Qu_3_c,Qu_3_d,Qu_4_a,Qu_4_b,Qu_4_c,Qu_4_d,Qu_5,Qu_6,Qu_7,Qu_8,Qu_9,Qu_10,Qu_11,Qu_12,Qu_13,Qu_14_a,Qu_14_b,Qu_15_a,Qu_15_b,Qu_15_c,Qu_15_d
1,2,3,1,1,1,7,4,3,3,6,6,2,1,2,3,United Kingdom,United Kingdom,Male,24,Student,MasterÁøs Degree,Low,Low,Yes,3,4,1,1,1,1
3,2,2,2,7,3,3,7,2,2,2,3,3,2,2,3,Brazil,Brazil,Female,30,Manager,College/University DegreeÊ,Low,Medium,Yes,7,2,5,5,3,2
3,3,2,3,2,3,3,2,2,2,2,3,2,5,5,2,India,India,Female,,Self Employed,College/University Degree&amp;am,Medium,Medium,Yes,1,1,5,1,1,3
2,2,2,2,1,2,2,4,1,1,4,3,1,2,2,3,China,Hong Kong,Female,48,Accountant,College/University Degree,High,Medium,Yes,1,1,3,3,1,2
2,2,1,1,2,2,5,3,2,2,4,3,2,2,4,3,Greece,Greece,Male,56,University Professor,Doctoral Degree,High,High,Yes,7,7,1,1,1,1
3,3,2,1,4,3,7,3,5,2,6,2,3,2,4,2,United Kingdom,United Kingdom,Male,20,Student,Some College,Low,Medium,No,7,7,2,4,1,2
7,6,5,3,2,3,2,1,2,2,2,2,1,6,6,2,Philippines,Philippines,Male,24,Manager,College/University Degree,Medium,Medium,Yes,2,1,5,1,1,1
7,1,1,1,1,3,5,3,1,1,3,3,2,1,1,2,United States,United States,Female,33,Dispatcher,Some College&amp;amp;nbsp;&amp;a,Medium,Medium,No,6,7,2,2,1,1
2,2,2,2,2,1,7,2,2,2,7,2,2,2,3,2,Netherlands,Netherlands,Female,44,Hr Assistant,College/University Degree,Low,Very High,No,7,7,1,1,1,1
4,4,3,3,2,3,4,4,3,3,3,4,3,4,4,3,China,China,Male,23,Student,College/University Degree,Medium,Very Low,No,5,5,3,1,1,1
7,1,2,7,2,3,3,2,2,1,3,2,1,2,3,2,United States,United States,Male,46,Skiilled Laborer,High School/Secondary School&amp,Very Low,Very Low,No,7,7,1,1,1,1
5,3,2,2,2,2,6,3,2,2,4,2,2,3,2,4,United States,United States,Male,23,Engineer,College/University Degree&amp;am,Medium,Medium,No,7,7,1,2,1,1
7,5,2,2,3,1,7,3,1,1,5,2,2,6,5,3,South Africa,South Africa,Male,19,None,High School/Secondary School&amp,Very Low,Very Low,Yes,3,1,4,5,1,3
2,2,2,2,6,5,7,6,4,5,6,5,3,5,6,7,United Kingdom,United Kingdom,Male,22,Management Consultant,College/University Degree,High,High,No,7,7,2,3,2,2
1,2,2,2,1,2,3,2,1,1,2,2,1,4,2,3,China,China,Male,25,Student,MasterÕs Degree,Low,Medium,No,7,7,1,3,1,3
7,1,1,1,3,2,2,2,1,1,1,1,1,4,4,2,South Africa,South Africa,Female,19,Student,High School/Secondary School&amp,Medium,Medium,Yes,1,1,1,1,1,1
2,2,1,1,1,2,6,3,1,2,2,2,1,1,2,2,South Africa,South Africa,Female,40,Academic In A Public Hei,Master&amp;rsquo;s Degree,Medium,Medium,No,4,2,1,1,1,1
2,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,Canada,Lebanon,Male,55,School Management Director,MasterÕs Degree,Medium,Medium,Yes,7,7,5,1,1,1
4,1,3,1,7,7,7,7,3,3,7,3,1,1,6,1,Canada,Canada,Male,54,Acquisition Analyst,Master's Degree,Medium,Low,Yes,5,1,1,1,1,1
1,1,1,2,1,1,1,2,,1,1,2,1,4,2,4,France,France,Female,23,Student,MasterÕs Degree,Medium,High,No,7,7,1,3,2,2
7,2,1,1,3,2,3,7,1,1,1,4,3,2,2,4,India,India,Female,19,Student,,Medium,Medium,Yes,2,1,7,2,1,1
2,2,2,5,2,1,6,3,1,2,1,5,2,2,4,4,Mexico,Mexico,Male,36,Student,MasterÕs Degree,Low,Low,No,7,4,1,1,1,1
3,3,1,2,2,3,5,3,2,3,4,3,1,3,4,3,China,China,Male,43,Manufacturing,College/University Degree,Medium,Medium,Yes,4,4,5,1,1,1
4,1,1,2,4,4,6,5,2,2,6,3,2,2,1,2,China,China,Male,23,Student,4,1,3,No,4,4,3,3,1,2
2,5,1,4,5,4,2,3,2,4,3,1,2,1,2,3,Philippines,Philippines,Male,22,Photography,Some College,Medium,High,Yes,3,2,5,3,4,5
5,1,1,4,1,2,4,2,1,2,4,3,1,6,7,1,India,India,Female,24,Interior Designer,College/University Degree&amp;am,Medium,Medium,Yes,2,1,1,1,1,1
2,1,1,1,1,3,5,2,2,1,3,1,2,2,2,1,China,China,Male,23,Student,College/University Degree,Low,Medium,Yes,2,3,2,1,1,1
1,1,1,1,2,3,1,2,3,2,3,2,3,2,2,2,China,China,0,30,Banker,2,3,3,No,6,4,7,1,1,1
4,1,1,6,1,1,2,1,1,1,2,1,5,4,2,2,United Kingdom,Thailand,Female,19,Student,High School/Secondary School,Low,Medium,No,6,6,1,3,1,1
3,2,1,6,2,3,4,2,1,2,3,3,3,2,1,2,United States,United States,Female,23,Massaging,Some College&amp;amp;nbsp;&amp;a,Low,Low,No,7,7,3,5,1,2
,,2,,,3,,,2,,,,2,2,2,2,Lebanon,Lebanon,Female,33,Administrative Assistant,College/University Degree,Low,Very Low,Yes,3,1,3,4,1,1
4,6,3,5,3,3,6,4,3,5,4,3,5,6,5,5,China,China,Male,23,Student,College/University Degree,Medium,Low,No,2,3,2,3,4,3
2,3,2,2,2,3,3,2,3,2,3,2,1,2,2,3,India,India,Male,30,Textile,Master&amp;amp;rsquo;s Degree,Very High,High,Yes,1,2,7,6,6,7
2,2,1,1,1,2,6,2,1,1,4,2,2,1,1,3,Spain,Mexico,Male,36,Engineer,Master's Degree,High,High,No,5,4,3,1,1,2
1,1,1,1,1,3,7,7,1,1,3,7,1,1,3,2,India,India,Male,26,Engineer,Master's Degree,Low,Low,No,6,6,1,1,1,1
1,1,1,1,7,1,6,1,1,1,1,1,2,2,2,1,Brazil,Brazil,Male,30,Researcher,Master&amp;rsquo;s Degree,Medium,High,No,7,7,1,2,3,1
4,4,3,3,4,3,7,3,3,3,7,3,5,5,5,5,United Kingdom,United Kingdom,Male,23,Teacher,College/University Degree,Medium,Medium,No,7,7,2,2,2,2
3,2,2,2,3,3,7,3,2,2,6,2,2,1,3,3,United States,United States,Female,21,Student,Some College&amp;amp;nbsp;&amp;a,Low,Medium,No,7,7,1,3,1,1
2,4,4,4,2,3,3,3,1,2,3,3,1,3,3,3,China,China,Male,23,Student,College/University Degree,Low,Medium,No,7,7,2,2,2,2
2,1,1,2,2,3,6,3,2,1,1,2,2,1,1,2,United Kingdom,United Kingdom,Female,21,Student,College/University Degree,Medium,High,Yes,6,6,1,2,1,1
1,1,1,1,4,2,2,5,2,2,2,2,1,1,1,1,China,China,Female,24,Student,Master&#039;s Degree,Low,Medium,No,6,5,2,2,1,1
3,1,2,2,1,3,5,3,1,2,3,3,3,3,5,7,Turkey,Turkey,Male,26,Student,College/University Degree,Medium,Medium,Yes,1,1,1,3,2,1
1,3,2,6,1,1,3,5,3,1,2,2,2,3,5,5,Thailand,Thailand,Female,23,Student,College/University Degree,Very Low,Low,No,7,7,2,3,2,2
6,2,1,1,3,2,3,5,1,1,2,2,2,2,2,1,South Africa,South Africa,Female,18,Student,High School/Secondary School&amp,Low,Medium,Yes,1,1,1,1,1,1
2,3,2,2,5,7,7,5,5,6,7,6,3,2,2,2,United Kingdom,United Kingdom,Male,22,Student,Some College,Low,High,No,7,7,1,3,1,1
3,2,1,3,5,2,7,2,3,3,6,1,2,1,5,2,Singapore,Singapore,Female,32,Clerk,Some College,Medium,Medium,Yes,3,4,2,2,1,2
2,3,2,1,2,3,1,2,2,3,2,3,2,1,2,3,China,China,Male,23,No,College/University Degree,Medium,Medium,Yes,5,4,3,3,3,2
3,3,1,1,2,1,2,2,5,3,2,2,2,2,2,2,China,China,Female,27,Student,MasterÕs Degree,Medium,High,No,7,7,1,1,1,2
1,1,1,4,2,2,2,7,2,3,7,3,2,2,4,3,United States,United States,Female,26,Student,College/University Degree,Medium,High,Yes,3,1,1,2,1,1
5,4,3,3,5,5,7,7,4,5,6,6,3,3,5,5,United States,United States,Male,23,Accounting,College/University Degree&amp;am,Medium,Medium,No,7,7,2,2,2,2
2,3,3,6,4,3,5,3,3,3,4,4,3,3,4,5,China,China,Male,24,Manager,MasterÕs Degree,Medium,Medium,No,6,6,3,3,2,4
4,5,3,4,4,4,5,3,4,5,3,3,5,4,3,3,China,China,Male,30,Marketing,College/University Degree,Low,Low,No,4,3,4,4,3,5
3,4,5,4,4,3,7,3,5,2,6,2,3,2,4,2,United Kingdom,United Kingdom,Male,20,Student,Some College,Low,Medium,No,7,7,2,4,1,2
1,1,2,1,1,3,7,7,1,1,3,7,1,1,3,2,India,India,Male,41,University Staff,College/University Degree,Medium,High,No,6,7,1,1,1,1
5,2,2,2,2,5,7,2,1,6,7,3,2,6,5,3,China,China,Male,23,Student,Master's Degree,Very Low,Medium,No,6,7,1,1,1,1
3,3,1,5,2,2,6,2,2,2,4,2,2,2,5,5,United Kingdom,France,Female,31,Student,Master Degree,Low,Low,No,5,4,1,4,2,1
2,2,2,2,3,3,5,3,3,3,5,3,3,3,5,4,China,China,Female,23,Student,4,3,3,No,6,6,2,2,1,2
6,2,2,7,7,2,4,6,1,1,4,6,2,2,4,6,China,China,2,32,Professor,4,3,3,0,3,1,1,1,1,1
4,1,3,7,3,2,2,3,4,2,2,2,1,6,3,5,Greece,Greece,Female,27,Postgraduate Student,MasterÕs Degree,Medium,Medium,Yes,4,1,4,2,1,1
2,2,1,1,7,2,7,7,1,2,1,6,3,3,6,7,South Africa,South Africa,Female,18,Manager,High School/Secondary School&amp,Very Low,Very Low,Yes,2,1,4,5,1,2
2,2,2,2,7,2,7,2,1,1,,2,5,1,3,2,South Africa,Yugoslavia,Female,32,Quality Facilitator,College/University Degree&amp;nb,High,High,No,7,7,5,1,1,1
4,2,2,3,6,6,7,7,6,6,7,6,6,6,6,5,South Africa,South Africa,Male,20,Student,High School/Secondary School&amp,Medium,Medium,No,6,2,2,1,1,6
2,3,2,1,2,3,1,2,2,3,2,3,2,1,2,3,China,China,Male,23,No,College/University Degree,Medium,Medium,Yes,5,4,3,3,3,2
1,1,1,1,3,1,7,3,2,1,4,2,3,5,3,2,Columbia,Columbia,Female,28,Student,College/University Degree,Medium,Medium,Yes,2,1,1,2,2,2
1,1,1,1,1,1,4,5,1,1,1,1,6,1,1,6,Canada,Canada,Male,55,Internet Marketer,College/University Degree,Low,Low,Yes,4,1,1,1,1,1
3,4,4,3,5,5,3,3,2,4,3,4,3,4,3,3,India,India,Male,28,Accoutant,Some College&amp;amp;nbsp;&amp;a,Medium,Medium,Yes,5,6,5,4,5,5
2,3,1,2,1,1,6,2,2,1,7,2,2,1,4,2,Turkey,Turkey,Male,25,Student,MasterÕs Degree,Very Low,Medium,No,2,2,1,4,1,1
3,1,2,2,1,3,5,3,1,2,3,3,3,3,5,7,United Kingdom,United Kingdom,Male,23,Student,College/University Degree,Medium,Medium,Yes,1,1,1,3,2,1
2,2,1,3,3,3,7,3,2,2,6,2,5,5,6,4,Uk,Germany,Female,25,Student,College/University Degree,Medium,Meduim,No,6,6,1,1,1,1
2,2,3,3,3,2,4,4,2,2,4,5,3,4,4,5,Hong-Kong,Hong-Kong,Male,26,Student,MasterÕs Degree,Very Low,Low,No,7,7,4,3,1,3
2,3,3,3,3,1,2,4,3,1,2,2,2,3,3,2,Viet Nam,Viet Nam,Male,26,Student,Master's Degree,Very Low,Low,No,7,7,3,4,1,2
3,2,3,4,3,2,5,3,3,2,4,3,3,2,5,2,India,India,Female,60,Service,College/University Degree&amp;am,Medium,,Yes,2,2,1,1,1,1
4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,Canada,Canada,,19,Student,Some College,Medium,Medium,Yes,6,6,4,4,4,4
1,2,1,1,1,2,7,3,1,2,3,3,1,3,4,3,Singapore,Singapore,Female,29,Baristar,High School/Secondary School,Low,Medium,Yes,1,1,4,4,3,1
7,5,1,1,6,6,7,7,2,2,4,1,3,3,2,3,Brazil,Brazil,Male,24,Student,MasterÕs Degree,High,Medium,Yes,6,1,6,6,1,1
1,2,2,2,5,5,6,6,2,6,5,5,2,2,5,5,India,India,Female,24,Manufacturing,College/University Degree&amp;am,Medium,Medium,No,5,7,5,2,2,1
1,1,3,1,2,1,7,2,1,1,4,2,1,1,4,3,Taiwan,Taiwan,Male,34,Pastor,3,2,2,1,1,1,2,1,1,1
3,3,4,4,2,5,4,4,3,2,3,4,2,1,2,3,Philippines,Philippines,Male,42,Business,Master's Degree,High,Medium,Yes,6,5,5,6,6,5
7,1,2,2,1,5,7,7,3,3,7,7,7,3,2,2,South Africa,United Kingdom,Male,25,Student,College/University Degree&amp;nb,Medium,Medium,Yes,4,7,5,1,1,1
1,1,1,1,4,2,3,1,3,3,1,4,1,4,3,2,Mexico,Mexico,Male,30,Student,Master's Degree,Medium,Medium,No,7,7,6,5,2,3
2,2,4,6,2,5,7,4,2,3,7,4,3,3,2,4,United Kingdom,Singapore,Male,22,Student,College/University Degree,Very Low,Medium,No,7,7,1,3,2,1
3,5,1,6,3,5,7,2,3,4,6,2,3,5,3,2,Latvia,Latvia,Female,20,Student,High School/Secondary School,Low,High,No,7,7,2,3,5,2
1,1,1,1,5,2,7,3,2,2,3,2,2,1,3,3,United Kingdom,Switzerland,Male,24,Student,College/University Degree,Medium,Low,No,7,7,1,1,1,1
1,1,1,1,1,1,4,4,1,1,4,4,1,1,1,4,Mexico,Mexico,Male,29,Manager,College/University Degree,Medium,Medium,No,4,6,1,1,1,1
2,3,1,2,5,3,7,6,3,3,6,5,6,5,5,2,United Kingdom,United Kingdom,Male,22,Student,Some College,High,High,No,7,7,1,5,2,2
4,5,1,3,3,1,1,1,1,2,2,1,3,2,3,1,Togo,Togo,Female,26,Student,Master's Degree,Medium,Medium,No,6,6,2,1,2,1
2,2,2,1,5,5,5,6,2,2,3,4,3,2,5,4,Greece,Greece,Male,28,Doctor,College/University Degree,High,High,Yes,4,2,1,2,1,3
6,2,2,1,6,5,7,7,3,2,7,7,2,2,3,1,United States,United States,Female,49,Writer,Some College&amp;amp;nbsp;&amp;a,Low,Low,No,7,7,1,2,1,1
3,1,1,1,3,7,7,3,2,2,4,4,1,1,2,3,Brazil,Brazil,Male,31,Manager,College/University DegreeÊ,High,High,Yes,6,6,1,1,1,1
